1-1-36-215	Bodhirajapura
1-1-36-220	Mampe West
1-1-36-225	Mampe South
1-1-36-230	Kolamunna
1-1-36-235	Suwarapola East
1-1-36-240	Suwarapola West
1-1-36-245	Hedigama
1-1-36-250	Batakettara North
1-1-36-255	Kesbewa North
1-1-36-260	Kesbewa East
1-1-36-265	Mavittara South
1-1-36-270	Honnanthara North
1-1-36-275	Honnanthara South
1-1-36-280	Makandana East
1-1-36-285	Kesbewa South
1-1-36-290	Batakettara South
1-1-36-295	Madapatha
1-1-36-300	Delthara West
1-1-36-305	Delthara East
1-1-36-310	Dampe
1-1-36-315	Makandana West
1-1-36-320	Nivungama
1-1-36-325	Halpita
1-1-36-330	Horathuduwa
1-1-36-335	Morenda
1-1-36-340	Batuwandara North
1-1-36-345	Batuwandara South
1-1-36-350	Jamburaliya
1-1-36-355	Polhena
1-1-36-360	Regidel Watta
1-1-36-365	Kahapola
1-1-39-005	Mount Lavinia
1-2-03-005	Kammalthura
1-2-03-010	Pallansena North
1-2-03-015	Kochchikade
1-2-03-020	Pallansena South
1-2-03-025	Daluwakotuwa
1-2-03-030	Palangathure
1-2-03-035	Ettukala
1-2-03-040	Daluwakotuwa East
1-2-03-045	Kattuwa
1-2-03-050	Dalupotha East
1-2-03-055	Dalupotha
1-2-03-060	Kudapaduwa
1-2-03-065	Kudapaduwa North
1-2-03-070	Kudapaduwa South
1-2-03-075	Wella Weediya
1-2-03-080	Wella Weediya East
1-2-03-085	Periyamulla
1-2-03-090	Hunupitiya
1-2-03-095	Angurukaramulla
1-2-03-100	Udayarthoppuwa
1-2-03-105	Wella Weediya South
1-2-03-110	Munnakkarai North
1-2-03-115	Doowa
1-2-03-120	Pitipana North
1-2-03-125	Pitipana Central
1-2-03-130	Munnakkaraya
1-2-03-135	Munnakkarai East
1-2-03-140	Thaladuwa
1-2-03-145	Udayarthoppuwa South
1-2-03-150	Bolawalana
1-2-03-155	Kurana West
1-2-03-160	Kurana East
1-2-03-165	Siriwardana Pedesa
1-2-03-170	South Pitipana East
1-2-03-175	Pitipana South
1-2-03-180	Thalahena
1-2-03-185	Dungalpitiya
1-2-03-190	Seththappaduwa
1-2-03-195	Kepungoda
1-2-06-005	Muruthana
1-2-06-010	Manaveriya
1-2-06-015	Udangawa
1-2-06-020	Thoppuwa
1-2-06-025	Bambukuliya
1-2-06-030	Katana North
1-2-06-035	Katana East
1-2-06-040	Katana West
1-2-06-045	Maha Ethgala
1-2-06-050	Ethgala
1-2-06-055	Adikkandiya
1-2-06-060	Welihena North
1-2-06-065	Welihena South
1-2-06-070	Pahala Kandawala
1-2-06-075	Ethgala South
1-2-06-080	Ihala Kandawala
1-2-06-085	Kaluwarippuwa West
1-2-06-090	Kondagammulla
1-2-06-095	Katiyala
1-2-06-100	Kadirana North
1-2-06-105	K.C. De Silvapura
1-2-06-110	Thimbirigaskatuwa
1-2-06-115	Sellakanda
1-2-06-120	Katuwapitiya
1-2-06-125	Mahahunupitiya West
1-2-06-130	Mahahunupitiya East
1-2-06-135	Pahala Kadirana
1-2-06-140	Kadirana
1-2-06-145	Akkara 50
1-2-06-150	Kadirana South
1-2-06-155	Kimbulapitiya West
1-2-06-160	Kimbulapitiya North
1-2-06-165	Kimbulapitiya South
1-2-06-170	Kimbulapitiya Central
1-2-06-175	Andiambalama West
1-2-06-180	Walpola
1-2-06-185	Andiambalama East
1-2-06-190	Dewamottawa
1-2-06-195	Kovinna
1-2-06-200	Evariwatta
1-2-06-205	Air Force Camp
1-2-06-210	Kurana Katunayaka Central
1-2-06-215	Kurana Katunayaka
1-2-06-220	Kurana Katunayaka South
1-2-06-225	Katunayaka North
1-2-06-230	Katunayaka South
1-2-06-235	Walanagoda
1-2-06-240	Kalahapitiya
1-2-06-245	Madawala
1-2-06-250	Muthuwadiya
1-2-06-255	Liyanagemulla North
1-2-06-260	Liyanagemulla South
1-2-06-265	Amandoluwa
1-2-06-270	Thampala
1-2-06-275	Kuswala
1-2-06-280	Ganepola
1-2-06-285	Heenatiyana West
1-2-06-290	Heenatiyana South
1-2-06-295	Heenatiyana East
1-2-06-300	Raddolugama North A
1-2-06-305	Raddolugama North
1-2-06-310	Raddolugama South
1-2-06-315	Raddolugama South A
1-2-06-320	Raddoluwa North
1-2-06-325	Raddoluwa West
1-2-06-330	Seeduwa
1-2-06-335	Mookalangamuwa West
1-2-06-340	Mookalangamuwa East
1-2-06-345	Bandarawatta East
1-2-06-350	Bandarawatta West
1-2-06-355	Dambaduraya
1-2-06-360	Raddoluwa South
1-2-06-365	Lansiyawadiya
1-2-06-370	Kotugoda
1-2-06-375	Kasagahawatta
1-2-06-380	Udammita North
1-2-06-385	Alawathupitiya
1-2-06-390	Udammita South
1-2-06-395	Ambalammulla
1-2-09-005	Andimulla
1-2-09-010	Ambalayaya
1-2-09-015	Bolagala
1-2-09-020	Otharawadiya
1-2-09-025	Godigamuwa West
1-2-09-030	Godigamuwa East
1-2-09-035	Balawala
1-2-09-040	Badalgama
1-2-09-045	Delpakadawara
1-2-09-050	Sirigapathawatta
1-2-09-055	Pethigoda
1-2-09-060	Alugolla
1-2-09-065	Polwatta
1-2-09-070	Polhena
1-2-09-075	Mellawagedara
1-2-09-080	Diklanda
1-2-09-085	Katukenda
1-2-09-090	Akarangaha
1-2-09-095	Kehelella West
1-2-09-100	Lihiniyagammana
1-2-09-105	Akaragama East
1-2-09-110	Akaragama West
1-2-09-115	Akaragama North
1-2-09-120	Pahala Madampella
1-2-09-125	Halpe
1-2-09-130	East Kaluwarippuwa North
1-2-09-135	Koonagodamulla North
1-2-09-140	Kongodamulla West
1-2-09-145	Kongodamulla South
1-2-09-150	Kongodamulla East
1-2-09-155	Ihala Madampella North
1-2-09-160	Ihala Madampella West
1-2-09-165	Ihala Madampella East
1-2-09-170	Ihalagama
1-2-09-175	Kehelella South
1-2-09-180	Kehelella North
1-2-09-185	Delwagura
1-2-09-190	Wekada
1-2-09-195	Kalumada
1-2-09-200	Agalegedara
1-2-09-205	Waradala
1-2-09-210	Kotadeniyawa
1-2-09-215	Erabadda
1-2-09-220	Diyagampala
1-2-09-225	Koradaminna
1-2-09-230	Dimbuldeniya
1-2-09-235	Paragoda North
1-2-09-240	Paragoda South
1-2-09-245	Moragalkanda
1-2-09-250	Nawana West
1-2-09-255	Hettimulla
1-2-09-260	Halloluwa
1-2-09-265	Kelegedara
1-2-09-270	Heeralugedara
1-2-09-275	Walpita
1-2-09-280	Welagana
1-2-09-285	Thammita
1-2-09-290	Palliyapitiya West
1-2-09-295	Induragara North
1-2-09-300	Induragara South
1-2-09-305	Kadawala North
1-2-09-310	Kadawala
1-2-09-315	East Kaluwarippuwa South
1-2-09-320	Miriswatta
1-2-09-325	Dagonna North
1-2-09-330	Dagonna East
1-2-09-335	Halgahawelawatta
1-2-09-340	Katuwellegama North
1-2-09-345	Kadawala South
1-2-09-350	Batepola
1-2-09-355	Doonagaha South
1-2-09-360	Doonagaha
1-2-09-365	Palliyapitiya East
1-2-09-370	Hunumulla
1-2-09-375	Hapugahagama
1-2-09-380	Barawavila
1-2-09-385	Kudagammana
1-2-09-390	Pahala Madithiyawala
1-2-09-395	Kaluaggala
